年份,文章标题,发布时间,url,route
2018,唯有美食与美景不可负——记一场成都周末游,2018/12/4,https://you.ctrip.com/travels/chengdu104/3756318.html,IFS->东郊记忆->鹤鸣茶社->成都远洋太古里->大慈寺->春熙路->宽窄巷子->成都人民公园->天府广场
2020,让我们在成都的街头走一走，不带走也不停留/终极版游玩秘籍,2020/1/17,https://you.ctrip.com/travels/chengdu104/3930929.html,IFS->大慈寺->成都远洋太古里->东郊记忆->锦里->成都武侯祠博物馆->九眼桥->成都人民公园->鹤鸣茶社->文殊院->宽窄巷子->春熙路
2020,带着孩子去成都体验48小时的安逸（附免费交通指南）,2020/9/20,https://you.ctrip.com/travels/chengdu104/3971590.html,IFS->大慈寺->春熙路->成都远洋太古里->宽窄巷子->成都市海昌极地海洋世界景区->成都大熊猫繁育研究基地->文殊院
2019,成都三日游攻略，打卡成都必去景点、网红餐厅，体验地道成都生活,2019/10/2,https://you.ctrip.com/travels/chengdu104/3902641.html,IFS->成都远洋太古里->大慈寺->宽窄巷子->锦里->九眼桥->春熙路->文殊院->成都武侯祠博物馆->玉林路小酒馆->兰桂坊->东郊记忆
2020,懒人攻略｜48小时玩转宇宙中心,2020/9/19,https://you.ctrip.com/travels/chengdu104/3971583.html,IFS->春熙路->成都武侯祠博物馆->锦里
2021,天府印象系列11：三苏祠,2021/1/3,https://you.ctrip.com/travels/meishan914/3991055.html,三苏祠景区->仁寿城市湿地公园
2021,冬日自驾，带你去看看成都的“海”,2021/12/28,https://you.ctrip.com/travels/chengdu104/4045805.html,三苏祠景区->黑龙滩旅游景区->成都市彭州丹景山旅游景区
2021,四川游记之雅安上里古镇,2021/7/16,https://you.ctrip.com/travels/yaan917/4022491.html,上里古镇->乐山大佛景区->峨眉山风景名胜区
2021,夏日雅安上里古镇一日游,2021/4/30,https://you.ctrip.com/travels/yaan917/4008221.html,上里古镇->雅安蒙顶山旅游景区->碧峰峡旅游景区
2021,这个夏天去圣莲岛吧，那里或许有你想要的诗和远方！,2021/7/18,https://you.ctrip.com/travels/suining605/4022771.html,世界荷花博览园->观音湖湿地公园旅游景区
2020,2018跨年游重庆,2020/4/30,https://you.ctrip.com/travels/chongqing158/3946514.html,东水门长江大桥->千厮门大桥->李子坝轻轨->佛图关公园->十八梯->来福士广场->重庆洪崖洞民俗风貌区->重庆湖广会馆->重庆长江索道景区->重庆市南山风景区->渣滓洞->解放碑->重庆磁器口古镇->白公馆->重庆歌乐山森林公园->重庆大剧院->四川美术学院
2021,陈盈国：湖广会馆,2021/9/21,https://you.ctrip.com/travels/chongqing158/4032936.html,东水门长江大桥->重庆湖广会馆
2021,白象居▏寻老街里的市井烟火，感受重庆森林的魅力,2021/11/6,https://you.ctrip.com/travels/chongqing158/4039753.html,东水门长江大桥->重庆湖广会馆->来福士广场->重庆长江索道景区
2018,舌尖上的成都|寻觅美食的旅途中，有美景，还有你,2018/11/21,https://you.ctrip.com/travels/chengdu104/3752842.html,东郊记忆->四川大学->成都人民公园->鹤鸣茶社->宽窄巷子->九眼桥->大慈寺->成都远洋太古里->春熙路->IFS
2019,成都｜记一趟不走寻常路的小众旅行~,2019/6/30,https://you.ctrip.com/travels/chengdu104/3820115.html,东郊记忆->宽窄巷子->成都远洋太古里
2019,北方冷了，来我们爱的成都，3天2晚让美食美景温暖我,2019/11/24,https://you.ctrip.com/travels/chengdu104/3918594.html,东郊记忆->成都远洋太古里->春熙路->宽窄巷子->锦里->成都武侯祠博物馆
2019,成都|眼里是你，胃里也是你【小众路线打卡+美食探店】,2019/5/10,https://you.ctrip.com/travels/chengdu104/3804268.html,东郊记忆->文殊院
2019,成都I逛不完的美景，吃不完的美食,2019/6/21,https://you.ctrip.com/travels/chengdu104/3817567.html,东郊记忆->文殊院->宽窄巷子->锦里->成都远洋太古里->IFS->春熙路->九眼桥
2018,48小时游成都，吃遍5家蜀都爆火的网红餐厅,2018/12/12,https://you.ctrip.com/travels/chengdu104/3759093.html,东郊记忆->春熙路->成都远洋太古里->大慈寺->锦里->宽窄巷子->成都杜甫草堂博物馆->奎星楼
2020,成都，天府之国，美食之都~,2020/8/21,https://you.ctrip.com/travels/chengdu104/3966749.html,东郊记忆->锦里->成都武侯祠博物馆->成都鹪鹩人文精品酒店->宽窄巷子
2020,成都，带不走的只有你~,2020/12/30,https://you.ctrip.com/travels/chengdu104/3990424.html,东郊记忆->锦里->成都武侯祠博物馆->春熙路->宽窄巷子->成都鹪鹩人文精品酒店
2018,四川|秋天的成都，三天打卡美景美食游记攻略【第一集】,2018/10/24,https://you.ctrip.com/travels/chengdu104/3743256.html,东郊记忆->锦里->成都武侯祠博物馆->春熙路->成都远洋太古里->大慈寺->天府广场->九眼桥
2019,回家过年自驾游之二——自贡花灯美名传,2019/11/13,https://you.ctrip.com/travels/zigong575/3912957.html,中国彩灯博物馆->峨眉山风景名胜区
2021,四川游记之绵竹剑南老街,2021/6/30,https://you.ctrip.com/travels/mianzhu1446217/4019675.html,中国绵竹年画村景区->剑南老街
2021,漫步年画小村，探访绵竹年画，三岁女孩爱上民间艺术,2021/10/6,https://you.ctrip.com/travels/mianzhu1446217/4035262.html,中国绵竹年画村景区->四川广汉三星堆博物馆
2019,重庆美食景点日记重庆三日游用脚步丈量山城,2019/1/26,https://you.ctrip.com/travels/chongqing158/3770695.html,中山四路->下浩老街->解放碑->李子坝轻轨->重庆鹅岭公园->皇冠大扶梯->重庆长江索道景区->重庆洪崖洞民俗风貌区
2021,红色三岩全景攻略（下）:徒步21公里，用行走纪念红岩精神,2021/6/21,https://you.ctrip.com/travels/chongqing158/4018004.html,中山四路->李子坝轻轨->重庆鹅岭公园->佛图关公园->重庆红岩革命纪念馆->史迪威博物馆->重庆人民大礼堂及人民广场->重庆中国三峡博物馆->重庆渝中嘉西村—怡园景区->桂园->重庆宋庆龄旧居陈列馆->特园->重庆中国民主党派历史陈列馆景区
2021,风吹日晒，自由自在“少年的你”我在重庆等你,2021/8/24,https://you.ctrip.com/travels/chongqing158/4029071.html,中山四路->杨家坪步行街->皇冠大扶梯->筒子楼->解放碑
2018,1938年，一封寄往「重庆」的信,2018/10/20,https://you.ctrip.com/travels/chongqing158/3742220.html,中山四路->特园->桂园->周公馆->重庆磁器口古镇->重庆洪崖洞民俗风貌区->千厮门大桥->重庆长江索道景区->解放碑
2021,上清寺风云（下）：一座城市的光荣与史诗,2021/2/1,https://you.ctrip.com/travels/chongqing158/3994593.html,中山四路->重庆人民大礼堂及人民广场->重庆中国三峡博物馆->特园->解放碑->重庆渝中嘉西村—怡园景区->周公馆->李子坝轻轨
2021,四川游记之乐山东方佛都,2021/7/19,https://you.ctrip.com/travels/leshan103/4022864.html,乐山大佛景区->乐山东方佛都旅游区
2020,川渝陕六城旅行记,2020/5/5,https://you.ctrip.com/travels/dujiangyan911/3947275.html,乐山大佛景区->乐山东方佛都旅游区->宽窄巷子->锦里->青城山—都江堰旅游景区->重庆市南山风景区->重庆磁器口古镇->白公馆->渣滓洞->重庆洪崖洞民俗风貌区->来福士广场->解放碑
2020,甜多家旅行记——重庆、成都自驾游,2020/4/29,https://you.ctrip.com/travels/chengdu104/3946177.html,乐山大佛景区->乐山东方佛都旅游区->峨眉山风景名胜区->宽窄巷子->成都玉林路->重庆枇杷山->李子坝轻轨->重庆洪崖洞民俗风貌区->解放碑
2019,2007乐山旅游（游记，十四）国家重点文物保护单位——夹江千佛崖,2019/5/24,https://you.ctrip.com/travels/jiajiang3108/3808741.html,乐山大佛景区->乐山市夹江县东风堰-千佛岩景区->峨眉山风景名胜区
2020,"向春天出发——2019,3，自驾，踏春（四）广元、乐山、犍为、西昌。",2020/4/24,https://you.ctrip.com/travels/liangshan912/3939433.html,乐山大佛景区->乐山市犍为县嘉阳.桫椤湖景区
2019,乐山旅行除了人满为患的乐山大佛，犍为县的嘉阳小火车也值得一去！,2019/10/9,https://you.ctrip.com/travels/jianwei3118/3904610.html,乐山大佛景区->乐山市犍为县嘉阳.桫椤湖景区
2019,驶向记忆|最后的蒸汽小火车—传奇嘉阳“矿”世典藏【视频】,2019/10/9,https://you.ctrip.com/travels/jianwei3118/3904695.html,乐山大佛景区->乐山市犍为县嘉阳.桫椤湖景区->珙县石板溪娃娃鱼生态园
2020,2016暑游蜀地印象之四——乐山大佛印象,2020/6/26,https://you.ctrip.com/travels/leshan103/3955476.html,乐山大佛景区->峨眉山风景名胜区
2021,四川当地导游价格，四川本地导游费用，个人靠谱的导游收费，私人导游多少钱一天，网友旅游攻略分享,2021/4/21,https://you.ctrip.com/travels/sichuan100009/4006128.html,乐山大佛景区->峨眉山风景名胜区
2020,乐山大佛-峨眉山看日出雪景。,2020/2/23,https://you.ctrip.com/travels/emeishan24/3934822.html,乐山大佛景区->峨眉山风景名胜区
2019,乐山美食游路线攻略20多家美食店就问你的胃还能装吗？,2019/9/8,https://you.ctrip.com/travels/leshan103/3894681.html,乐山大佛景区->峨眉山风景名胜区
2021,四川最宜居的养老胜地是乐山，成都人都会时常排着队去吃喝游玩,2021/7/15,https://you.ctrip.com/travels/leshan103/4022227.html,乐山大佛景区->峨眉山风景名胜区
2020,四川旅游：重游两“佛”山采风散记（图）,2020/3/19,https://you.ctrip.com/travels/leshan103/3938943.html,乐山大佛景区->峨眉山风景名胜区->三苏祠景区->瓦屋山景区
2019,“乐”不思“蜀”——川蜀双城记,2019/9/21,https://you.ctrip.com/travels/leshan103/3899448.html,乐山大佛景区->峨眉山风景名胜区->乐山市犍为县嘉阳.桫椤湖景区->罗城古镇->成都远洋太古里
2021,四川成都、乐山大佛、峨眉山、九寨沟、黄龙、都江堰、三星堆、宽窄巷子,2021/7/4,https://you.ctrip.com/travels/emeishan24/4020385.html,乐山大佛景区->峨眉山风景名胜区->四川广汉三星堆博物馆->宽窄巷子->青城山—都江堰旅游景区
